,Evaluaciones en las tardes o sábados o exámenes,,,,,,,,,,,,,,,,,,,,,
,Evaluaciones en horario de Clase/Ayudantía,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TIPO HORARIO,DESCRIPCION,,,,,,,,,,,,,,,,,,,,,
CLAS,CLASES,,,,,,,,,,,,,,,,,,,,,
AYUD,AYUDANTIA,,,,,,,,,,,,,,,,,,,,,
LABT,LABORATORIO,,,,,,,,,,,,,,,,,,,,,
EXAM,EXAMEN,,,,,,,,,,,,,,,,,,,,,
PRBA ,"PRUEBA (1, 2, 3...)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PERIODO,PLAN DE ESTUDIOS,ESCUELA,NRC,CONECTOR  LIGA,LISTA CRUZADA,MATERIA,CURSO,SECC.,TITULO,CREDITO,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,DOMINGO,INICIO,FIN,SALA,TIPO,PROFESOR
202320,PLAN COMUN,IN,610,,,ING,1201,3,ALGEBRA LINEAL,6,,,,,17:30 - 19:20,,,31/07/2023,15/11/2023,,CLAS,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202320,PLAN COMUN,IN,610,,,ING,1201,3,ALGEBRA LINEAL,6,,,15:30 - 17:20,,,,,07/08/2023,15/11/2023,,AYUD,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202320,PLAN COMUN,IN,611,,,ING,1201,4,ALGEBRA LINEAL,6,,08:30 - 10:20,,,,,,31/07/2023,15/11/2023,,CLAS,ETEROVIC/RESTAINO MAGDALENA 
202320,PLAN COMUN,IN,611,,,ING,1201,4,ALGEBRA LINEAL,6,,,,08:30 - 10:20,,,,31/07/2023,15/11/2023,,CLAS,ETEROVIC/RESTAINO MAGDALENA 
202320,PLAN COMUN,IN,611,,,ING,1201,4,ALGEBRA LINEAL,6,,,15:30 - 17:20,,,,,07/08/2023,15/11/2023,,AYUD,ETEROVIC/RESTAINO MAGDALENA 
202320,PE 2022,IN,495,,,IOC,3201,1,ANALISIS ESTRUCTURAL,6,,15:30 - 17:20,,,,,,21/11/2023,21/11/2023,,EXAM,MARIHUEN/FUENTEALBA ANDRES NICOLAS
202320,PE 2022,IN,495,,,IOC,3201,1,ANALISIS ESTRUCTURAL,6,,,19:30 - 21:20,,,,,06/09/2023,06/09/2023,,PRBA 1,MARIHUEN/FUENTEALBA ANDRES NICOLAS
202320,PE 2022,IN,495,,,IOC,3201,1,ANALISIS ESTRUCTURAL,6,19:30 - 21:20,,,,,,,02/10/2023,02/10/2023,,PRBA 2,MARIHUEN/FUENTEALBA ANDRES NICOLAS
202320,PE 2022,IN,495,,,IOC,3201,1,ANALISIS ESTRUCTURAL,6,19:30 - 21:20,,,,,,,06/11/2023,06/11/2023,,PRBA 3,MARIHUEN/FUENTEALBA ANDRES NICOLAS
202320,PE 2022,IN,495,,,IOC,3201,1,ANALISIS ESTRUCTURAL,6,,,,,08:30 - 11:20,,,31/07/2023,15/11/2023,,CLAS,MARIHUEN/FUENTEALBA ANDRES NICOLAS
202320,PE 2022,IN,495,,,IOC,3201,1,ANALISIS ESTRUCTURAL,6,,15:30 - 17:20,,,,,,07/08/2023,15/11/2023,,AYUD,MARIHUEN/FUENTEALBA ANDRES NICOLAS
202320,PE 2016,IN,5897,,IN24,ICI,0031,1,ANALITICA BAYESIANA PARA NEGOCIOS,6,15:30 - 17:20,,,,,,,28/08/2023,28/08/2023,,PRBA 1,LOPEZ/OSPINA HECTOR ANDRES
202320,PE 2016,IN,5897,,IN24,ICI,0031,1,ANALITICA BAYESIANA PARA NEGOCIOS,6,15:30 - 17:20,,,,,,,16/10/2023,16/10/2023,,PRBA 2,LOPEZ/OSPINA HECTOR ANDRES
202320,PE 2016,IN,5897,,IN24,ICI,0031,1,ANALITICA BAYESIANA PARA NEGOCIOS,6,15:30 - 17:20,,,,,,,13/11/2023,13/11/2023,,PRBA 3,LOPEZ/OSPINA HECTOR ANDRES
